"","County","SubCounty","AdminArea","TP_Total","TP_Male","TP_Female","PWA_Total","PWA_Male","PWA_Female"
"375","KISII","MASABA SOUTH","SubCounty",122149,58023,64121,45,20,25
"376","KISII","NYAMACHE","SubCounty",130666,62010,68653,56,20,36
"377","KISII","SAMETA","SubCounty",66763,31710,35049,12,7,5
"378","NYAMIRA","NYAMIRA","County",603051,289443,313595,190,86,104
"379","NYAMIRA","BORABU","SubCounty",72797,36471,36326,21,12,9
"380","NYAMIRA","MANGA","SubCounty",94056,44779,49275,36,9,27
"381","NYAMIRA","MASABA NORTH","SubCounty",110914,52344,58568,49,20,29
"382","NYAMIRA","NYAMIRA NORTH","SubCounty",166959,80128,86825,32,16,16
"383","NYAMIRA","NYAMIRA SOUTH","SubCounty",158325,75721,82601,52,29,23
"384","NAIROBI CITY","NAIROBI CITY","County",4337080,2151473,2185406,525,257,268
"385","NAIROBI CITY","DAGORETTI","SubCounty",432331,216528,215776,50,18,32
"386","NAIROBI CITY","EMBAKASI","SubCounty",983232,489380,493813,102,56,46
"387","NAIROBI CITY","KAMUKUNJI","SubCounty",263462,132785,130670,30,16,14
"388","NAIROBI CITY","KASARANI","SubCounty",772586,375173,397379,87,32,55
"389","NAIROBI CITY","KIBRA","SubCounty",181509,91842,89660,22,19,3
"390","NAIROBI CITY","LANG'ATA","SubCounty",191207,92845,98354,27,12,15
"391","NAIROBI CITY","MAKADARA","SubCounty",188792,95811,92971,26,15,11
"392","NAIROBI CITY","MATHARE","SubCounty",204469,105047,99408,32,18,14
"393","NAIROBI CITY","NJIRU","SubCounty",623471,305774,317667,79,35,44
"394","NAIROBI CITY","STAREHE","SubCounty",194726,96858,97858,27,13,14
"395","NAIROBI CITY","WESTLANDS","SubCounty",301295,149430,151850,43,23,20
