"","County","SubCounty","AdminArea","Vision_Total","Vision_Male","Vision_Female","Hearing_Total","Hearing_Male","Hearing_Female","Mobility_Total","Mobility_Male","Mobility_Female","Cognition_Total","Cognition_Male","Cognition_Female","SelfCare_Total","SelfCare_Male","SelfCare_Female","Communication_Total","Communication_Male","Communication_Female"
"153","NYERI","TETU","SubCounty",583,226,357,276,104,172,1292,428,864,585,237,348,455,201,254,292,168,124
"154","NYERI","KIENI EAST","SubCounty",1120,416,704,386,177,209,1590,555,1035,791,322,469,458,199,259,317,177,140
"155","NYERI","KIENI WEST","SubCounty",1077,424,653,340,136,204,1516,483,1033,742,304,438,478,218,260,303,159,144
"156","NYERI","MATHIRA EAST","SubCounty",887,297,590,319,116,203,1295,429,866,662,265,397,440,197,243,297,147,150
"157","NYERI","MATHIRA WEST","SubCounty",653,251,402,263,107,156,1313,442,871,610,265,345,424,192,232,286,155,131
"158","NYERI","NYERI SOUTH","SubCounty",665,243,422,288,126,162,1310,454,856,651,287,364,427,189,238,285,155,130
"159","NYERI","MUKURWE-INI","SubCounty",729,286,443,323,144,179,1715,526,1188,816,317,498,532,222,309,320,173,146
"160","NYERI","NYERI CENTRAL","SubCounty",815,278,537,318,138,180,1212,451,761,611,263,348,478,216,262,337,188,149
"161","NYERI","MT. KENYA FOREST","SubCounty",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","NYERI","ABERDARE FOREST","SubCounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","KIRINYAGA","KIRINYAGA","County",6219,2201,4018,2292,933,1359,9275,3019,6254,4967,2009,2958,3016,1360,1655,2019,1058,960
"164","KIRINYAGA","KIRINYAGA CENTRAL","SubCounty",1067,366,701,420,168,252,1701,539,1162,813,354,459,600,260,340,364,188,176
"165","KIRINYAGA","KIRINYAGA EAST","SubCounty",1483,531,952,545,221,324,2411,795,1616,1265,535,730,790,348,442,488,247,241
"166","KIRINYAGA","KIRINYAGA WEST","SubCounty",1347,480,867,512,208,304,2051,659,1391,1123,403,720,656,279,376,410,227,182
"167","KIRINYAGA","MWEA EAST","SubCounty",1235,436,799,414,183,231,1609,533,1075,896,370,526,499,248,251,399,204,195
"168","KIRINYAGA","MWEA WEST","SubCounty",1087,388,699,401,153,248,1503,493,1010,870,347,523,471,225,246,358,192,166
"169","KIRINYAGA","MT. KENYA FOREST","SubCounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","MURANG'A","MURANG'A","County",10411,3892,6518,4402,1858,2544,18630,6206,12424,8336,3558,4778,5822,2652,3170,3664,1994,1669
"171","MURANG'A","MURANG'A EAST","SubCounty",967,361,606,389,163,226,1641,564,1077,772,324,448,543,259,284,353,183,170
"172","MURANG'A","KANGEMA","SubCounty",940,339,601,356,154,202,1702,556,1146,772,320,452,544,268,276,330,179,151
"173","MURANG'A","MATHIOYA","SubCounty",1015,367,648,445,189,256,1736,539,1197,898,384,514,565,254,311,304,175,129
"174","MURANG'A","KAHURO","SubCounty",992,384,608,466,205,261,2104,715,1389,800,335,465,571,253,318,367,199,168
"175","MURANG'A","MURANG'A SOUTH","SubCounty",1854,683,1171,773,314,459,2901,986,1915,1415,585,830,888,394,494,662,340,322
"176","MURANG'A","GATANGA","SubCounty",1497,590,906,646,287,359,2705,941,1764,1233,563,670,844,395,449,549,302,247
"177","MURANG'A","KIGUMO","SubCounty",1335,507,828,566,237,329,2566,851,1715,1080,477,603,818,381,437,477,282,195
"178","MURANG'A","KANDARA","SubCounty",1811,661,1150,761,309,452,3275,1054,2221,1366,570,796,1049,448,601,622,334,287
"179","MURANG'A","ABERDARE FOREST","SubCounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","KIAMBU","KIAMBU","County",16320,6370,9947,4964,2263,2700,19574,6917,12654,9363,4118,5243,6842,3032,3808,5186,2821,2364
"181","KIAMBU","GATUNDU NORTH","SubCounty",1121,422,699,428,170,258,1821,603,1218,845,360,485,638,286,352,412,227,185
"182","KIAMBU","GATUNDU SOUTH","SubCounty",1182,476,706,389,180,209,1905,643,1261,881,390,491,690,287,403,383,212,171
"183","KIAMBU","GITHUNGURI","SubCounty",1390,541,849,545,254,291,2298,771,1527,1048,432,616,760,332,428,488,274,214
"184","KIAMBU","JUJA","SubCounty",1709,678,1031,487,221,266,1529,559,969,814,371,443,621,294,327,561,316,245
"185","KIAMBU","KABETE","SubCounty",1264,496,768,320,139,181,1622,572,1050,714,331,383,534,238,295,399,212,187
"186","KIAMBU","KIAMBAA","SubCounty",1350,560,789,393,184,209,1599,591,1007,708,332,376,512,223,289,405,234,171
"187","KIAMBU","KIAMBU","SubCounty",905,321,584,280,129,151,1103,374,729,563,226,337,375,160,215,308,162,146
"188","KIAMBU","KIKUYU","SubCounty",1665,623,1042,404,172,232,1559,528,1031,771,344,427,512,230,282,378,203,175
"189","KIAMBU","LARI","SubCounty",1239,478,761,408,192,216,1616,567,1049,777,338,439,540,236,304,403,217,186
"190","KIAMBU","LIMURU","SubCounty",1238,476,762,382,176,206,1644,563,1081,709,299,410,512,224,288,372,199,173
"191","KIAMBU","RUIRU","SubCounty",1675,675,999,488,244,244,1373,572,801,791,378,413,572,276,296,590,309,281
"192","KIAMBU","THIKA EAST","SubCounty",352,144,208,102,47,55,445,144,301,218,96,122,149,60,89,110,56,54
"193","KIAMBU","THIKA WEST","SubCounty",1230,480,749,338,155,182,1060,430,630,524,221,301,427,186,240,377,200,176
"194","TURKANA","TURKANA","County",2907,1308,1599,1817,903,914,3184,1628,1556,2071,1093,978,2230,1163,1067,1429,777,652
"195","TURKANA","KIBISH","SubCounty",105,32,73,61,23,38,79,35,44,61,36,25,77,39,38,28,14,14
"196","TURKANA","LOIMA","SubCounty",326,143,183,210,105,105,336,154,182,161,68,93,172,77,95,127,53,74
"197","TURKANA","TURKANA CENTRAL","SubCounty",586,243,343,391,194,197,612,298,314,299,146,153,337,163,174,218,116,102
"198","TURKANA","TURKANA EAST","SubCounty",302,158,144,295,160,135,413,235,178,322,186,136,344,195,149,281,169,112
"199","TURKANA","TURKANA NORTH","SubCounty",203,76,127,102,37,65,166,67,99,84,40,44,99,34,65,64,29,35
