"","County","SubCounty","AdminArea","Total","Male","Female","SearchedOnline_Total","SearchedOnline_Total_Perc","SearchedOnline_Male","SearchedOnline_Male_Perc","SearchedOnline_Female","SearchedOnline_Female_Perc"
"338","SIAYA","BONDO","SubCounty",115669,54931,60736,3598,3.1,2146,3.9,1452,2.4
"339","SIAYA","RARIEDA","SubCounty",88914,40689,48224,1876,2.1,1103,2.7,773,1.6
"340","KISUMU","KISUMU","County",693208,328579,364612,34033,4.9,19378,5.9,14654,4
"341","KISUMU","KISUMU EAST","SubCounty",136790,66679,70107,7698,5.6,4415,6.6,3283,4.7
"342","KISUMU","KISUMU CENTRAL","SubCounty",112735,53734,58998,12589,11.2,6730,12.5,5859,9.9
"343","KISUMU","KISUMU WEST","SubCounty",104328,50515,53810,5203,5,3079,6.1,2124,3.9
"344","KISUMU","SEME","SubCounty",70214,31820,38393,1475,2.1,892,2.8,582,1.5
"345","KISUMU","MUHORONI","SubCounty",88087,43164,44924,2078,2.4,1312,3,766,1.7
"346","KISUMU","NYANDO","SubCounty",94195,43274,50917,2743,2.9,1593,3.7,1150,2.3
"347","KISUMU","NYAKACH","SubCounty",86859,39394,47464,2247,2.6,1357,3.4,890,1.9
"348","HOMA BAY","HOMA BAY","County",623095,284578,338502,15965,2.6,9701,3.4,6263,1.9
"349","HOMA BAY","HOMA BAY","SubCounty",67022,30608,36414,3220,4.8,1841,6,1378,3.8
"350","HOMA BAY","NDHIWA","SubCounty",113961,51684,62274,1872,1.6,1235,2.4,637,1
"351","HOMA BAY","RACHUONYO NORTH","SubCounty",101585,46658,54924,2473,2.4,1530,3.3,943,1.7
"352","HOMA BAY","RACHUONYO EAST","SubCounty",66773,30086,36686,1387,2.1,844,2.8,543,1.5
"353","HOMA BAY","RACHUONYO SOUTH","SubCounty",73368,32940,40428,2006,2.7,1167,3.5,839,2.1
"354","HOMA BAY","RANGWE","SubCounty",63713,28156,35556,1714,2.7,1029,3.7,685,1.9
