"","County","SubCounty","AdminArea","Male","Female","Intersex","Total"
"383","Nairobi City County","Dagoretti","SubCounty",217651,216526,31,434208
"384","Nairobi City County","Embakasi","SubCounty",492476,496270,62,988808
"385","Nairobi City County","Kamukunji","SubCounty",136670,131599,7,268276
"386","Nairobi City County","Kasarani","SubCounty",381234,399385,37,780656
"387","Nairobi City County","Kibra","SubCounty",94199,91569,9,185777
"388","Nairobi City County","Lang'ata","SubCounty",96698,100774,17,197489
"389","Nairobi City County","Makadara","SubCounty",96369,93157,10,189536
"390","Nairobi City County","Mathare","SubCounty",106522,100028,14,206564
"391","Nairobi City County","Njiru","SubCounty",307642,318809,31,626482
"392","Nairobi City County","Starehe","SubCounty",109173,101238,12,210423
"393","Nairobi City County","Westlands","SubCounty",153818,155021,15,308854
