"","County","SubCounty","AdminArea","Farming","ExoticCattle_Dairy","ExoticCattle_Beef","IndigenousCattle","Sheep","Goats","Camels","Donkeys","Pigs","IndigenousChicken","ExoticChicken_Layers","ExoticChicken_Broilers","Beehives","Rabbits","FishPonds","FishCages"
"48","WAJIR","HABASWEIN","SubCounty",19731,2952,565,323070,727873,1025808,370680,36954,NA,20995,1740,936,72,30,NA,NA
"49","WAJIR","TARBAJ","SubCounty",4598,386,85,16994,201877,332380,100030,8201,NA,2652,562,232,9,18,NA,NA
"50","WAJIR","WAJIR EAST","SubCounty",3113,434,65,5576,55716,114423,39645,3617,NA,2357,1180,1100,54,23,NA,NA
"51","WAJIR","WAJIR NORTH","SubCounty",5288,515,282,63804,72921,168934,77801,7078,NA,9273,1136,287,224,NA,NA,NA
"52","WAJIR","WAJIR SOUTH","SubCounty",11735,1340,847,267976,503224,674127,199439,26630,NA,12081,1323,1535,259,35,NA,NA
"53","WAJIR","WAJIR WEST","SubCounty",8568,605,183,71267,278799,305476,94846,14365,NA,7753,860,386,19,2,NA,NA
"54","MANDERA","MANDERA","County",62639,5433,2706,1174850,2226033,4898807,1828665,155390,NA,151394,23270,21183,54007,5110,NA,NA
"55","MANDERA","MANDERA WEST","SubCounty",8737,415,198,278873,331503,717126,395404,19166,NA,41357,3442,3783,7495,3405,NA,NA
"56","MANDERA","BANISA","SubCounty",14983,1536,562,281547,527824,1158405,541338,37256,NA,39072,8195,5901,42417,884,NA,NA
"57","MANDERA","KOTULO","SubCounty",6881,278,112,180313,310225,713580,215984,16591,NA,14813,372,276,210,128,NA,NA
"58","MANDERA","LAFEY","SubCounty",7352,414,318,119638,276012,605607,214452,21744,NA,13188,2948,3696,180,476,NA,NA
"59","MANDERA","MANDERA CENTRAL","SubCounty",8042,888,675,148149,290115,626427,171553,17478,NA,15390,2405,838,345,123,NA,NA
"60","MANDERA","MANDERA EAST","SubCounty",7078,955,388,101498,220542,394266,91646,18544,NA,14969,3524,4104,749,29,NA,NA
"61","MANDERA","MANDERA NORTH","SubCounty",9566,947,453,64832,269812,683396,198288,24611,NA,12605,2384,2585,2611,65,NA,NA
"62","MARSABIT","MARSABIT","County",39167,13693,7116,219927,627832,744475,215234,50006,65,21239,3326,1500,1011,95,372,80
"63","MARSABIT","LOIYANGALANI","SubCounty",4891,380,106,6725,41925,62559,11093,5378,3,1668,313,88,408,44,8,6
"64","MARSABIT","MARSABIT CENTRAL","SubCounty",4727,2604,1267,22538,29634,57984,7892,2404,22,6441,1141,1044,427,31,9,2
"65","MARSABIT","MARSABIT NORTH","SubCounty",6193,737,363,40045,174233,174887,68908,10175,1,623,75,39,14,3,61,NA
"66","MARSABIT","MARSABIT SOUTH","SubCounty",8620,2586,722,49547,145393,174660,55415,10429,21,5087,292,55,10,1,26,4
"67","MARSABIT","MOYALE","SubCounty",3823,1059,382,15112,16967,35725,13319,3205,5,4078,1267,211,146,3,10,7
"68","MARSABIT","NORTH HORR","SubCounty",7259,4913,3613,67076,192051,194668,45097,16244,8,764,114,31,1,10,138,49
"69","MARSABIT","SOLOLO","SubCounty",3654,1414,663,18884,27629,43992,13510,2171,5,2578,124,32,5,3,120,12
"70","ISIOLO","ISIOLO","County",24271,12900,10121,248577,854725,1030005,148859,33692,158,52192,11439,7456,2227,242,288,51
"71","ISIOLO","GARBATULLA","SubCounty",9264,8338,5811,121522,491857,607921,82312,17531,NA,22180,429,207,218,17,163,41
"72","ISIOLO","ISIOLO","SubCounty",8600,2076,1384,46839,111613,175883,21728,6739,157,22567,10662,7127,1501,219,98,2
"73","ISIOLO","MERTI","SubCounty",6407,2486,2926,80216,251255,246201,44819,9422,1,7445,348,122,508,6,27,8
"74","MERU","MERU","County",274865,114251,24656,173277,138771,342198,5732,5822,30789,1006744,140951,69083,50151,45935,6734,155
"75","MERU","BUURI EAST","SubCounty",18061,9906,3612,16013,20676,25823,36,682,2845,91277,10373,2722,1765,5628,814,5
"76","MERU","BUURI WEST","SubCounty",14939,7269,2818,13560,31171,10767,94,91,1232,62649,6057,2339,1354,4407,390,3
"77","MERU","IGEMBE CENTRAL","SubCounty",31946,4865,1551,20042,11727,52861,1479,1167,824,72413,5828,6151,2544,1229,183,15
