"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"269","KAJIADO","KAJIADO","County",97565,37686,NA,NA,12536,33885,2902,4184,NA,1693,7029,3710,10415,5801,NA,NA,2198,12860,2270,NA
"270","KAJIADO","ISINYA","SubCounty",6584,2523,NA,NA,404,2174,157,301,NA,101,537,464,890,896,NA,NA,276,1490,191,NA
"271","KAJIADO","KAJIADO CENTRAL","SubCounty",19641,4546,NA,NA,564,4191,145,352,NA,148,490,387,841,632,NA,NA,398,1007,194,NA
"272","KAJIADO","KAJIADO NORTH","SubCounty",10726,5704,NA,NA,2759,4811,563,729,NA,178,1730,737,1310,1489,NA,NA,135,4024,597,NA
"273","KAJIADO","KAJIADO WEST","SubCounty",23089,5497,NA,NA,2496,5010,478,859,NA,459,1267,504,1217,1310,NA,NA,236,2334,622,NA
"274","KAJIADO","LOITOKITOK","SubCounty",29501,16618,NA,NA,6162,15089,1384,1662,NA,497,2795,1438,5672,1326,NA,NA,856,3581,615,NA
"275","KAJIADO","MASHUURU","SubCounty",8024,2798,NA,NA,151,2610,175,281,NA,310,210,180,485,148,NA,NA,297,424,51,NA
"276","KERICHO","KERICHO","County",150845,132308,40485,NA,19794,92081,6234,18375,4622,1683,70784,14922,13602,35701,NA,39536,NA,81493,23253,NA
"277","KERICHO","BELGUT","SubCounty",23573,18946,5731,NA,2032,11861,740,2250,494,177,13457,2283,1643,6748,NA,6385,NA,14310,3176,NA
"278","KERICHO","BURETI","SubCounty",33285,26776,8122,NA,4325,17444,937,5628,570,452,19812,4134,2032,7771,NA,7740,NA,21269,7819,NA
"279","KERICHO","KERICHO EAST","SubCounty",23273,19606,4168,NA,2526,12640,1189,2314,474,194,11849,1748,2222,5487,NA,7070,NA,12130,2918,NA
"280","KERICHO","KIPKELION","SubCounty",22836,22245,8802,NA,2981,19284,1062,2285,1518,226,10319,2057,2553,3923,NA,6413,NA,11500,1887,NA
"281","KERICHO","LONDIANI","SubCounty",25049,23742,4408,NA,6670,17196,168,823,998,419,3764,4075,1939,5420,NA,3408,NA,11276,739,NA
"282","KERICHO","SOIN SIGOWET","SubCounty",22829,20993,9254,NA,1260,13656,2138,5075,568,215,11583,625,3213,6352,NA,8520,NA,11008,6714,NA
"283","BOMET","BOMET","County",152564,122998,41522,NA,37261,106434,3939,54045,NA,2331,78319,26613,21900,47758,943,28681,940,93744,40551,NA
"284","BOMET","BOMET EAST","SubCounty",26472,22805,6498,NA,6545,20446,629,10368,NA,453,12031,4747,4123,11017,199,4019,154,13802,4385,NA
"285","BOMET","CHEPALUNGU","SubCounty",31910,28697,14169,NA,6660,25691,1036,20833,NA,288,12660,3972,5955,10168,228,2700,334,20038,10184,NA
"286","BOMET","KONOIN","SubCounty",23845,14084,3169,NA,3853,9161,400,2978,NA,270,13084,3468,1934,6315,91,2842,86,14680,7131,NA
"287","BOMET","SOTIK","SubCounty",40497,34994,10748,NA,10699,30378,1329,13267,NA,768,23512,7467,5120,9941,238,11923,208,26060,12167,NA
"288","BOMET","BOMET CENTRAL","SubCounty",29840,22418,6938,NA,9504,20758,545,6599,NA,552,17032,6959,4768,10317,187,7197,158,19164,6684,NA
"289","KAKAMEGA","KAKAMEGA","County",335269,312670,24160,NA,26204,250047,103223,146673,NA,9539,194940,9064,16914,26940,100958,16384,2208,141501,92380,NA
"290","KAKAMEGA","BUTERE","SubCounty",29189,27134,2198,NA,1685,22659,9775,12178,NA,856,15582,556,772,1890,10687,959,171,11618,3473,NA
"291","KAKAMEGA","KAKAMEGA CENTRAL","SubCounty",25461,22353,1206,NA,1331,16846,7107,9844,NA,363,15276,744,1230,2240,9742,903,165,12646,4916,NA
"292","KAKAMEGA","KAKAMEGA EAST","SubCounty",31632,29188,795,NA,1929,24310,7001,10833,NA,585,20403,1154,1321,4052,1938,412,109,12502,7627,NA
"293","KAKAMEGA","KAKAMEGA NORTH","SubCounty",43441,40626,2158,NA,3777,32356,15577,24349,NA,1595,26992,1249,3657,5533,14327,1795,290,21564,26349,NA
"294","KAKAMEGA","KAKAMEGA SOUTH","SubCounty",22218,20603,845,NA,727,17157,4989,7751,NA,459,13898,383,433,1824,2258,1075,86,8066,3186,NA
"295","KAKAMEGA","KHWISERO","SubCounty",23443,21852,1997,NA,852,18067,7481,10871,NA,424,16115,422,696,2648,9433,1380,176,10012,2045,NA
"296","KAKAMEGA","LIKUYANI","SubCounty",24849,23091,1331,NA,1557,16495,2206,7798,NA,277,9907,974,1376,1551,456,1221,182,7921,1375,NA
"297","KAKAMEGA","LUGARI","SubCounty",23281,22152,1793,NA,1862,18536,3918,10186,NA,449,14130,838,1542,1938,2324,2310,127,9634,4813,NA
"298","KAKAMEGA","MATETE","SubCounty",11488,10806,887,NA,1314,8790,2654,5635,NA,458,6456,384,900,1003,2670,804,98,5106,6596,NA
"299","KAKAMEGA","MATUNGU","SubCounty",30321,28872,4093,NA,3752,21894,11983,12315,NA,972,13438,575,1081,743,12769,2183,246,8971,5348,NA
"300","KAKAMEGA","MUMIAS EAST","SubCounty",21549,20364,1729,NA,2211,14861,9245,9828,NA,750,12950,553,871,792,9037,771,162,9833,6678,NA
"301","KAKAMEGA","MUMIAS WEST","SubCounty",19375,18074,3031,NA,1459,14036,7680,8041,NA,511,9860,271,582,822,8081,1331,101,7203,1937,NA
"302","KAKAMEGA","NAVAKHOLO","SubCounty",29022,27555,2097,NA,3748,24040,13607,17044,NA,1840,19933,961,2453,1904,17236,1240,295,16425,18037,NA
"303","VIHIGA","VIHIGA","County",113753,105807,5160,NA,4222,89528,40867,50944,NA,2243,84487,2308,4613,11438,14238,2062,NA,46248,25329,NA
"304","VIHIGA","EMUHAYA","SubCounty",20210,18949,1243,NA,671,15952,8014,9938,NA,345,15553,276,604,1454,2902,559,NA,8444,3788,NA
"305","VIHIGA","VIHIGA","SubCounty",18652,17479,988,NA,760,15281,7724,9811,NA,628,14877,415,1035,1955,5400,400,NA,7942,5077,NA
"306","VIHIGA","SABATIA","SubCounty",25789,24235,958,NA,967,21396,8626,10280,NA,562,19856,618,777,2555,380,318,NA,10952,6417,NA
"307","VIHIGA","LUANDA","SubCounty",20058,18597,1178,NA,713,14273,6315,7874,NA,369,13598,342,946,1514,3421,431,NA,8030,3636,NA
"308","VIHIGA","HAMISI","SubCounty",29042,26545,793,NA,1111,22625,10188,13041,NA,339,20603,657,1251,3960,2135,354,NA,10880,6411,NA
"309","VIHIGA","KAKAMEGA FOREST","SubCounty",2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","BUNGOMA","BUNGOMA","County",280445,262063,28889,NA,40882,222747,72760,102940,7644,20851,160195,11059,19364,17992,93242,27667,2975,96113,57105,2169
"311","BUNGOMA","BUMULA","SubCounty",39540,38051,4807,NA,6096,33223,16773,16223,1004,1814,19850,855,2703,1510,17551,3610,645,11074,4496,462
"312","BUNGOMA","BUNGOMA CENTRAL","SubCounty",31835,30119,4485,NA,4099,27450,8297,12083,1241,4436,20570,864,1723,1065,17003,4904,343,9915,5455,242
"313","BUNGOMA","BUNGOMA EAST","SubCounty",19688,18256,1493,NA,1926,14731,3953,8274,595,1149,11893,512,864,746,6043,2087,184,7232,7810,115
"314","BUNGOMA","BUNGOMA NORTH","SubCounty",20848,19517,1824,NA,1777,15116,4526,7683,454,693,12888,606,825,615,2677,1754,130,6828,6078,94
"315","BUNGOMA","BUNGOMA SOUTH","SubCounty",41443,38314,4726,NA,6361,31823,12916,17632,1084,2372,22809,1227,3173,2177,17721,3707,499,15569,12199,403
"316","BUNGOMA","CHEPTAIS","SubCounty",22457,20639,975,NA,7171,17980,2356,3228,547,952,10749,3274,3462,6569,1909,485,113,8831,697,135
"317","BUNGOMA","KIMILILI","SubCounty",25205,23336,2139,NA,2304,19458,5118,8562,547,1769,15762,874,932,786,6938,2002,267,7785,3861,187
"318","BUNGOMA","MT. ELGON","SubCounty",12376,11157,725,NA,4516,8908,915,1661,215,107,5738,1132,428,1638,281,1384,60,3901,543,47
"319","BUNGOMA","BUNGOMA WEST","SubCounty",22145,21201,2853,NA,2344,19429,6575,7261,461,3689,13195,585,2824,831,9058,2162,338,7965,1001,236
"320","BUNGOMA","TONGAREN","SubCounty",17578,16498,1351,NA,1450,13273,2848,6384,577,289,9655,554,849,667,993,1605,156,5946,1805,91
"321","BUNGOMA","WEBUYE WEST","SubCounty",26624,24971,3511,NA,2836,21356,8483,13949,919,3581,17086,576,1581,1388,13068,3967,240,11067,13160,157
"322","BUNGOMA","MT. ELGON FOREST","SubCounty",706,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","BUSIA","BUSIA","County",148257,135790,53701,2206,11163,99743,71591,61973,NA,7815,51930,2572,7945,3335,49979,25825,1638,29615,13949,2109
"324","BUSIA","BUNYALA","SubCounty",12676,9683,7636,969,856,7818,2320,4834,NA,632,1716,262,1075,278,1133,1148,139,2081,542,67
"325","BUSIA","BUSIA","SubCounty",19412,17526,7008,131,1595,12303,7957,7931,NA,768,6163,323,612,669,5096,2696,144,4271,1623,135
"326","BUSIA","BUTULA","SubCounty",26650,25235,12232,189,2246,18400,13465,12450,NA,941,10573,423,776,599,13314,6077,177,5932,1850,143
"327","BUSIA","NAMBALE","SubCounty",19743,18550,3728,190,2030,13547,9373,8284,NA,964,8297,389,1027,450,7043,2707,249,4405,4580,199
"328","BUSIA","SAMIA","SubCounty",19701,18000,12364,95,935,15426,11002,10734,NA,1116,4160,319,979,494,6163,2375,168,3378,717,416
"329","BUSIA","TESO NORTH","SubCounty",23180,21835,4052,126,1499,17479,11893,10092,NA,1763,10942,509,1891,380,9374,4782,320,5081,981,721
"330","BUSIA","TESO SOUTH","SubCounty",26895,24961,6681,506,2002,14770,15581,7648,NA,1631,10079,347,1585,465,7856,6040,441,4467,3656,428
"331","SIAYA","SIAYA","County",194362,181114,99872,1310,9298,132295,59310,67040,NA,15925,60751,2906,10464,10099,47293,18069,1794,49344,8326,3125
"332","SIAYA","SIAYA","SubCounty",44532,41256,24591,602,2188,32778,15539,18212,NA,2070,11557,684,2538,2182,8777,3442,406,11285,1704,235
"333","SIAYA","GEM","SubCounty",38224,36527,13982,151,1719,29190,14553,16761,NA,979,23395,684,1755,3649,10747,2474,264,15097,3212,186
"334","SIAYA","UGENYA","SubCounty",27847,26465,16657,216,2080,22578,11484,12939,NA,957,10350,505,841,1173,9013,3989,198,6350,1218,119
"335","SIAYA","UGUNJA","SubCounty",21054,19948,9736,92,1093,16029,7382,9404,NA,742,8398,400,632,1302,5713,2376,144,7122,1101,112
"336","SIAYA","BONDO","SubCounty",32920,29263,16351,141,1081,15715,4506,4698,NA,3346,3437,433,2444,1068,2748,3296,462,5371,545,218
"337","SIAYA","RARIEDA","SubCounty",29785,27655,18555,108,1137,16005,5846,5026,NA,7831,3614,200,2254,725,10295,2492,320,4119,546,2255
"338","KISUMU","KISUMU","County",147117,126050,66687,10259,8789,62434,37426,30515,NA,22727,38295,2447,13653,9675,24973,14492,2037,34752,17204,2174
"339","KISUMU","KISUMU EAST","SubCounty",16348,12302,5174,695,696,5060,3666,3322,NA,1334,3736,252,1245,877,911,1432,264,3698,1329,161
"340","KISUMU","KISUMU CENTRAL","SubCounty",4157,1925,602,195,207,1015,487,451,NA,219,602,115,440,329,352,346,104,1009,414,39
"341","KISUMU","KISUMU WEST","SubCounty",23207,20287,7307,141,1159,12046,8682,7559,NA,1453,9943,284,1572,1408,4735,1759,203,6149,1126,98
"342","KISUMU","SEME","SubCounty",24014,22284,13750,151,1587,11737,9807,7040,NA,5537,7100,398,1999,1193,9169,3654,261,5457,611,140
"343","KISUMU","MUHORONI","SubCounty",26368,24021,11280,3156,2645,14115,6489,5931,NA,2993,6933,632,2853,2456,1360,2369,315,7053,10460,345
"344","KISUMU","NYANDO","SubCounty",26570,22381,15745,5410,884,7938,2427,1868,NA,6985,2404,366,2628,986,1016,2404,550,4888,1690,1164
"345","KISUMU","NYAKACH","SubCounty",26453,22850,12829,511,1611,10523,5868,4344,NA,4206,7577,400,2916,2426,7430,2528,340,6498,1574,227
"346","HOMA BAY","HOMA BAY","County",193812,179727,68877,1977,21889,111932,58238,47972,NA,16258,56152,3462,15109,23022,61360,18769,2532,53518,25278,3263
"347","HOMA BAY","HOMA BAY","SubCounty",16401,14776,5642,99,1725,9772,4272,3300,NA,1466,3994,325,1741,2416,5257,1614,315,5302,2270,222
"348","HOMA BAY","NDHIWA","SubCounty",40976,39664,8752,337,7601,30245,14918,11860,NA,3376,14761,869,2731,4692,16062,2732,403,14267,17233,328
"349","HOMA BAY","RACHUONYO NORTH","SubCounty",32414,29483,16472,154,1673,14962,7063,4294,NA,5872,4168,350,2742,1340,13057,4247,452,5679,765,1494
"350","HOMA BAY","RACHUONYO EAST","SubCounty",23388,22300,7449,91,2606,14948,8576,10275,NA,840,13021,412,1456,3721,6550,1681,161,8042,1419,125
"351","HOMA BAY","RACHUONYO SOUTH","SubCounty",23419,22164,6122,140,2608,14084,7991,7969,NA,710,9752,355,1281,3930,8186,2352,224,7198,968,152
"352","HOMA BAY","RANGWE","SubCounty",22145,21005,7651,956,3273,12531,9251,6651,NA,1420,5824,576,1863,4123,8898,2167,277,7448,1634,494
"353","HOMA BAY","SUBA NORTH","SubCounty",17645,14975,8722,81,782,7190,1731,1346,NA,1399,2006,198,1726,1044,1431,1711,398,2914,424,333
"354","HOMA BAY","SUBA SOUTH","SubCounty",17424,15360,8067,119,1621,8200,4436,2277,NA,1175,2626,377,1569,1756,1919,2265,302,2668,565,115
"355","MIGORI","MIGORI","County",169958,156039,28039,NA,24080,98634,62251,61576,NA,5511,56025,4584,13375,21117,36245,16599,2541,54924,35791,NA
"356","MIGORI","AWENDO","SubCounty",20101,18804,1635,NA,2896,10379,6215,4837,NA,654,9126,237,849,2975,5604,525,146,7076,10948,NA
"357","MIGORI","KURIA EAST","SubCounty",14610,13830,4301,NA,3013,11393,5016,8034,NA,587,8068,1063,2150,3328,3312,4837,388,7583,1251,NA
"358","MIGORI","KURIA WEST","SubCounty",28212,26535,5863,NA,3580,19450,9870,16302,NA,772,8328,1414,2969,4872,5988,4163,477,11080,1539,NA
"359","MIGORI","NYATIKE","SubCounty",26354,21396,7950,NA,3345,10193,8735,6103,NA,1056,1351,297,2510,691,2705,3151,763,3180,835,NA
"360","MIGORI","RONGO","SubCounty",19910,18699,1415,NA,2691,9499,5982,5519,NA,400,10016,423,919,2977,4629,651,153,7134,8328,NA
"361","MIGORI","SUNA EAST","SubCounty",18705,17353,1537,NA,1937,12196,6177,5950,NA,692,7795,349,1009,2153,4854,619,144,6411,3174,NA
"362","MIGORI","SUNA WEST","SubCounty",17050,15736,2908,NA,3183,9081,9022,5760,NA,459,2270,308,1284,939,2302,1649,194,3974,579,NA
"363","MIGORI","URIRI","SubCounty",25016,23686,2430,NA,3435,16443,11234,9071,NA,891,9071,493,1685,3182,6851,1004,276,8486,9137,NA
"364","KISII","KISII","County",219853,194138,31358,NA,12622,141895,18851,24900,NA,4062,147402,7271,8830,44787,14773,41160,NA,129308,29793,NA
"365","KISII","ETAGO","SubCounty",15099,13639,2610,NA,1430,10198,2505,2205,NA,332,8568,398,746,3010,2328,2774,NA,7313,6911,NA
"366","KISII","GUCHA","SubCounty",15067,13349,1927,NA,750,9267,1388,1971,NA,343,9946,350,404,2085,1300,2233,NA,9132,1979,NA
"367","KISII","GUCHA SOUTH","SubCounty",15386,14291,3434,NA,886,10459,1901,2173,NA,600,9081,342,713,2745,3355,4223,NA,9000,3355,NA
"368","KISII","KENYENYA","SubCounty",23613,20895,2432,NA,1762,15730,1592,3466,NA,257,16501,868,709,3328,488,2815,NA,13128,2646,NA
"369","KISII","KISII CENTRAL","SubCounty",24658,19737,1647,NA,863,13871,1543,2264,NA,250,16889,856,913,5322,237,2300,NA,15368,3695,NA
"370","KISII","KISII SOUTH","SubCounty",22532,19966,2768,NA,917,13488,2614,1875,NA,397,16249,431,600,4684,2929,2662,NA,11945,4139,NA
"371","KISII","KITUTU CENTRAL","SubCounty",20197,16904,2017,NA,644,10689,1865,1987,NA,495,12077,457,814,3959,1377,2922,NA,10197,1618,NA
"372","KISII","MARANI","SubCounty",21857,20035,7851,NA,622,16119,2007,1536,NA,330,15128,599,1250,6551,2129,7854,NA,14200,2218,NA
"373","KISII","MASABA SOUTH","SubCounty",23932,21336,2890,NA,2527,18773,1063,2952,NA,598,16946,1632,1344,6354,110,6510,NA,16125,1259,NA
"374","KISII","NYAMACHE","SubCounty",24952,22570,2258,NA,1614,15565,1202,2874,NA,203,17153,1014,848,4337,136,4559,NA,15026,1115,NA
"375","KISII","SAMETA","SubCounty",12560,11416,1524,NA,607,7736,1171,1597,NA,257,8864,324,489,2412,384,2308,NA,7874,858,NA
"376","NYAMIRA","NYAMIRA","County",110028,89330,10634,NA,7009,73139,6117,13058,6094,1367,73928,6758,6525,27871,2934,24192,NA,71185,11480,803
"377","NYAMIRA","BORABU","SubCounty",10890,8241,1209,NA,1966,7949,525,2263,568,173,6641,1598,1156,3121,142,2587,NA,7244,1470,102
"378","NYAMIRA","MANGA","SubCounty",18096,14971,1566,NA,767,11840,1319,1929,1040,204,13727,909,911,5775,99,4301,NA,13268,2407,129
"379","NYAMIRA","MASABA NORTH","SubCounty",20678,17087,1921,NA,1715,14621,972,2537,1200,304,14128,1207,1043,5775,137,4889,NA,13799,1807,186
"380","NYAMIRA","NYAMIRA NORTH","SubCounty",31900,26777,2931,NA,1510,21226,2210,4019,1326,320,20950,1616,1755,5446,1387,5678,NA,18212,2669,172
"381","NYAMIRA","NYAMIRA SOUTH","SubCounty",28464,22254,3007,NA,1051,17503,1091,2310,1960,366,18482,1428,1660,7754,1169,6737,NA,18662,3127,214
"382","NAIROBI CITY","NAIROBI CITY","County",32258,9867,NA,NA,NA,7610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9573,NA,NA
"383","NAIROBI CITY","DAGORETTI","SubCounty",5691,2319,NA,NA,NA,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2057,NA,NA
"384","NAIROBI CITY","EMBAKASI","SubCounty",3224,699,NA,NA,NA,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,NA,NA
"385","NAIROBI CITY","KAMUKUNJI","SubCounty",459,95,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA
"386","NAIROBI CITY","KASARANI","SubCounty",6136,1904,NA,NA,NA,1283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,NA,NA
"387","NAIROBI CITY","KIBRA","SubCounty",737,187,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,NA,NA
"388","NAIROBI CITY","LANG'ATA","SubCounty",1712,533,NA,NA,NA,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,NA,NA
"389","NAIROBI CITY","MAKADARA","SubCounty",639,106,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA
"390","NAIROBI CITY","MATHARE","SubCounty",735,178,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA
"391","NAIROBI CITY","NJIRU","SubCounty",10642,2950,NA,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2715,NA,NA
"392","NAIROBI CITY","STAREHE","SubCounty",483,158,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA
"393","NAIROBI CITY","WESTLANDS","SubCounty",1800,738,NA,NA,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,NA,NA
