"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"148","NYANDARUA","NYANDARUA NORTH","SubCounty",23468,21613,1190,NA,19077,14678,733,2251,736,608,1719,6106,1201,6562,NA,NA,NA,10529,1777,NA
"149","NYANDARUA","ABERDARE NATIONAL PARK","SubCounty",2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"150","NYERI","NYERI","County",164229,138426,3354,NA,108919,125889,13597,34618,2536,2311,81891,45430,12864,27917,NA,NA,NA,71714,23622,NA
"151","NYERI","TETU","SubCounty",20387,18703,177,NA,16979,17212,1576,6022,98,258,14230,6799,1781,3421,NA,NA,NA,12240,3769,NA
"152","NYERI","KIENI EAST","SubCounty",23138,17784,813,NA,19154,17620,477,2658,570,647,2222,7932,1876,3518,NA,NA,NA,7667,2154,NA
"153","NYERI","KIENI WEST","SubCounty",21942,18569,1296,NA,18163,16912,532,2522,1342,379,1987,5527,1673,7839,NA,NA,NA,7190,1596,NA
"154","NYERI","MATHIRA EAST","SubCounty",20473,15719,123,NA,9506,13036,1696,3659,74,275,12612,7727,1431,2717,NA,NA,NA,9847,4137,NA
"155","NYERI","MATHIRA WEST","SubCounty",15919,14301,151,NA,13009,13485,2048,3869,72,133,10735,3105,1204,1492,NA,NA,NA,5531,2539,NA
"156","NYERI","NYERI SOUTH","SubCounty",21243,17672,137,NA,13064,15126,1099,5291,92,343,13483,9351,1887,4813,NA,NA,NA,13022,2820,NA
"157","NYERI","MUKURWE-INI","SubCounty",22973,20938,484,NA,5816,19153,4756,6743,116,104,17368,1636,1437,1900,NA,NA,NA,9201,4313,NA
"158","NYERI","NYERI CENTRAL","SubCounty",18108,14736,172,NA,13184,13326,1413,3853,171,172,9254,3345,1574,2216,NA,NA,NA,7009,2294,NA
"159","NYERI","MT. KENYA FOREST","SubCounty",44,3,1,NA,42,18,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,6,NA,NA
"160","NYERI","ABERDARE FOREST","SubCounty",2,1,NA,NA,2,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA
"161","KIRINYAGA","KIRINYAGA","County",139866,100197,8880,21557,22133,83440,20215,25556,NA,4285,73990,18370,15866,10460,NA,2643,2049,40338,19104,NA
"162","KIRINYAGA","KIRINYAGA CENTRAL","SubCounty",27890,20599,936,1399,4489,16778,2785,4705,NA,166,17432,6341,3281,3631,NA,320,141,10337,3704,NA
"163","KIRINYAGA","KIRINYAGA EAST","SubCounty",36150,26017,887,1139,9543,22155,8136,7676,NA,277,26011,7674,3589,3515,NA,264,498,14083,7848,NA
"164","KIRINYAGA","KIRINYAGA WEST","SubCounty",27280,22028,1436,1193,2302,19144,4494,7243,NA,299,17617,2966,1803,2284,NA,319,304,7961,4392,NA
