"","County","SubCounty","AdminArea","LandSize","LandSize_Subsistence","LandSize_Commercial","No.FHS","No.FHS_Subsistence","No.FHS_Commercial"
"369","KISII","KISII CENTRAL","SubCounty",18011,15935,1814,24658,22792,1572
"370","KISII","KISII SOUTH","SubCounty",19355,17953,1108,22532,21561,775
"371","KISII","KITUTU CENTRAL","SubCounty",13238,11748,1419,20197,18894,1081
"372","KISII","MARANI","SubCounty",13570,13049,418,21857,21258,445
"373","KISII","MASABA SOUTH","SubCounty",18794,18054,651,23932,23197,527
"374","KISII","NYAMACHE","SubCounty",19402,18587,729,24952,24153,644
"375","KISII","SAMETA","SubCounty",10856,10268,563,12560,11909,576
"376","NYAMIRA","NYAMIRA","County",82551,76896,5015,110028,104355,4586
"377","NYAMIRA","BORABU","SubCounty",13174,11519,1455,10890,9897,829
"378","NYAMIRA","MANGA","SubCounty",12386,11876,433,18096,17420,500
"379","NYAMIRA","MASABA NORTH","SubCounty",14495,13778,617,20678,19937,567
"380","NYAMIRA","NYAMIRA NORTH","SubCounty",23213,21945,1128,31900,30505,1103
"381","NYAMIRA","NYAMIRA SOUTH","SubCounty",19283,17778,1382,28464,26596,1587
"382","NAIROBI CITY","NAIROBI CITY","County",34905,10822,6021,32258,24030,6956
"383","NAIROBI CITY","DAGORETTI","SubCounty",2429,1674,626,5691,4364,1124
"384","NAIROBI CITY","EMBAKASI","SubCounty",19192,1284,796,3224,2207,851
"385","NAIROBI CITY","KAMUKUNJI","SubCounty",387,149,111,459,299,130
"386","NAIROBI CITY","KASARANI","SubCounty",3325,2003,1194,6136,4399,1507
"387","NAIROBI CITY","KIBRA","SubCounty",478,263,199,737,507,184
"388","NAIROBI CITY","LANG'ATA","SubCounty",1090,621,430,1712,1319,304
"389","NAIROBI CITY","MAKADARA","SubCounty",293,150,131,639,436,173
"390","NAIROBI CITY","MATHARE","SubCounty",567,370,174,735,461,215
"391","NAIROBI CITY","NJIRU","SubCounty",4865,3367,1293,10642,8356,1962
"392","NAIROBI CITY","STAREHE","SubCounty",614,224,178,483,339,121
"393","NAIROBI CITY","WESTLANDS","SubCounty",1667,717,890,1800,1343,385
